                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2454,                 6.3858,                 1.1713,                0.00475,                0.46341,                0.09629,                 0.0551,                 1.3385,                 3.5954,                 1.1142,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.0652,                 3.9082,                 1.3165,                  0.005,                 0.4878,                0.10198,                 0.0578,                 1.3468,                 3.6051,                 1.1206,              0.0001206,              0.0001206,              0.0001206
                      3,                 1.9137,                 3.6653,                 1.3135,                0.00508,                0.49593,                0.10531,                0.06288,                 1.3363,                 3.6359,                 1.1306,               9.52e-05,               9.52e-05,               9.52e-05
