                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.505,                  3.743,                 1.0591,                0.00359,                0.05719,                0.00476,                0.00249,                 2.3664,                 3.7106,                 1.4182,                      0,                      0,                      0
                      2,                 2.3115,                 3.7225,                 1.1495,                0.00363,                0.05778,                0.00507,                0.00264,                 2.3736,                 3.7124,                 1.4252,               1.34e-05,               1.34e-05,               1.34e-05
                      3,                 2.1893,                 3.6664,                 1.2559,                0.00381,                0.06073,                0.00781,                 0.0038,                 2.3819,                 3.7103,                 1.4308,               1.36e-05,               1.36e-05,               1.36e-05
