                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6468,                 1.6743,                 1.0885,                      1,                0.06437,                0.39009,                0.18164,                 1.4924,                 3.3385,                 1.2101,             0.00038711,             0.00038711,             0.00038711
                     35,                 1.9095,                 2.0935,                 1.3228,                      1,                0.06437,                0.39009,                0.18164,                 1.4924,                 3.3385,                 1.2101,              0.0003759,              0.0003759,              0.0003759
                     36,                 2.0048,                 1.8074,                 1.1058,                0.81201,                0.10569,                0.43142,                0.19835,                 1.5174,                 3.2168,                 1.2098,             0.00036336,             0.00036336,             0.00036336
                     37,                 1.9252,                 2.2134,                 1.1299,                0.81201,                0.10569,                0.43142,                0.19835,                 1.5174,                 3.2168,                 1.2098,              0.0003495,              0.0003495,              0.0003495
                     38,                 1.9106,                  2.532,                 1.2028,                0.81201,                0.10569,                0.43142,                0.19835,                 1.5174,                 3.2168,                 1.2098,             0.00033432,             0.00033432,             0.00033432
                     39,                   1.77,                 1.6455,                 1.1386,                 0.7528,                0.14862,                 0.4208,                0.19876,                 1.5596,                 3.0843,                 1.2185,             0.00031782,             0.00031782,             0.00031782
                     40,                 2.2108,                 1.4796,                  1.173,                 0.7528,                0.14862,                 0.4208,                0.19876,                 1.5596,                 3.0843,                 1.2185,                 0.0003,                 0.0003,                 0.0003
                     41,                 1.6934,                 1.9594,                 1.1031,                 0.7528,                0.14862,                 0.4208,                0.19876,                 1.5596,                 3.0843,                 1.2185,             0.00028086,             0.00028086,             0.00028086
                     42,                  1.791,                 1.9844,                 1.1052,                0.66648,                0.20325,                0.43482,                 0.2105,                 1.6073,                 2.9285,                   1.25,              0.0002604,              0.0002604,              0.0002604
                     43,                 1.4503,                 1.7584,                 0.9755,                0.66648,                0.20325,                0.43482,                 0.2105,                 1.6073,                 2.9285,                   1.25,             0.00023861,             0.00023861,             0.00023861
                     44,                  1.637,                 1.9167,                 1.1751,                0.66648,                0.20325,                0.43482,                 0.2105,                 1.6073,                 2.9285,                   1.25,             0.00021551,             0.00021551,             0.00021551
                     45,                 1.8295,                 2.4492,                 1.0934,                0.66648,                0.20325,                0.43482,                 0.2105,                 1.6073,                 2.9285,                   1.25,             0.00019109,             0.00019109,             0.00019109
                     46,                 1.4088,                 1.8003,                 1.0364,                0.59138,                0.23577,                0.47027,                0.22359,                 1.6176,                 2.7707,                 1.2714,             0.00016535,             0.00016535,             0.00016535
                     47,                 1.6939,                 1.6829,                0.96185,                0.59138,                0.23577,                0.47027,                0.22359,                 1.6176,                 2.7707,                 1.2714,             0.00013829,             0.00013829,             0.00013829
                     48,                 1.5609,                 2.0287,                 1.1527,                0.59138,                0.23577,                0.47027,                0.22359,                 1.6176,                 2.7707,                 1.2714,             0.00010991,             0.00010991,             0.00010991
                     49,                 2.1023,                 2.2546,                 1.7821,                0.59138,                0.23577,                0.47027,                0.22359,                 1.6176,                 2.7707,                 1.2714,             8.0203e-05,             8.0203e-05,             8.0203e-05
                     50,                 1.6727,                 1.8035,                0.98425,                 0.5942,                0.38096,                 0.4998,                0.23837,                  1.626,                 2.6436,                 1.2859,              4.918e-05,              4.918e-05,              4.918e-05
