                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4178,                 4.1727,                 1.3011,                0.00525,                0.21951,                 0.0753,                0.04584,                  1.376,                 3.9791,                 1.1028,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.2468,                 4.0438,                 1.1339,                0.00548,                0.22764,                0.09253,                 0.0542,                  1.375,                 3.9898,                 1.1035,             3.3507e-05,             3.3507e-05,             3.3507e-05
                      3,                 2.0446,                   3.92,                 1.2755,                0.00561,                0.23577,                0.09548,                0.05761,                 1.3734,                  3.987,                 1.1147,             2.8339e-05,             2.8339e-05,             2.8339e-05
