                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4152,                 3.9085,                 1.2895,                0.00396,                0.06309,                0.00513,                0.00263,                 2.2907,                 3.6827,                 1.4162,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.2666,                 3.7098,                 1.1337,                 0.0047,                0.07488,                0.00871,                0.00468,                 2.2843,                 3.6829,                 1.4133,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 1.9305,                 3.5156,                 1.1821,                0.00589,                0.09375,                0.01101,                0.00633,                 2.2795,                 3.6808,                 1.4224,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                  2.105,                 3.3064,                 1.2089,                0.00756,                0.12028,                0.01341,                0.00703,                 2.2724,                 3.6582,                 1.4288,             0.00013168,             0.00013168,             0.00013168
                      5,                 1.4881,                 2.6693,                0.97577,                0.00811,                0.12913,                0.01314,                 0.0069,                 2.2914,                 3.6512,                   1.44,             0.00016574,             0.00016574,             0.00016574
                      6,                 2.4412,                 2.7744,                 1.0018,                0.00889,                0.14151,                 0.0138,                0.00703,                 2.3191,                 3.6373,                 1.4669,             0.00019822,             0.00019822,             0.00019822
                      7,                  2.199,                 2.4122,                  1.094,                0.00863,                0.13738,                0.01402,                0.00681,                 2.3602,                 3.6324,                 1.5003,             0.00022911,             0.00022911,             0.00022911
                      8,                 2.0835,                 2.0498,                 1.1138,                0.00907,                0.14446,                0.01552,                0.00728,                 2.3779,                 3.6178,                 1.5106,             0.00025842,             0.00025842,             0.00025842
                      9,                  1.498,                 1.6385,                0.91796,                0.00985,                0.15684,                0.01629,                0.00741,                 2.3659,                 3.5862,                 1.4999,             0.00028614,             0.00028614,             0.00028614
                     10,                 2.0492,                 3.5971,                  1.087,                0.00963,                 0.1533,                0.01567,                0.00723,                 2.3675,                  3.569,                 1.4969,             0.00031228,             0.00031228,             0.00031228
                     11,                 1.6356,                 1.9776,                 1.1381,                0.01096,                0.17453,                 0.0172,                0.00793,                  2.352,                 3.5549,                 1.4727,             0.00033684,             0.00033684,             0.00033684
                     12,                 2.7366,                 12.267,                 1.0427,                0.01096,                0.17453,                 0.0172,                0.00793,                  2.352,                 3.5549,                 1.4727,             0.00035981,             0.00035981,             0.00035981
                     13,                 1.8357,                 1.7024,                 1.0722,                0.01315,                0.20932,                0.01789,                0.00836,                  2.342,                 3.5355,                 1.4393,              0.0003812,              0.0003812,              0.0003812
                     14,                  2.163,                 1.4838,                 1.0424,                0.01237,                0.19693,                0.01596,                0.00892,                 2.3553,                 3.5441,                 1.4295,               0.000401,               0.000401,               0.000401
                     15,                 2.2249,                 1.4135,                0.99687,                0.01237,                0.19693,                0.01596,                0.00892,                 2.3553,                 3.5441,                 1.4295,             0.00041922,             0.00041922,             0.00041922
                     16,                 2.2183,                 1.6707,                 1.1121,                0.01237,                0.19693,                0.01318,                  0.006,                 2.3758,                 3.5625,                 1.4405,             0.00043586,             0.00043586,             0.00043586
