                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5781,                 3.3784,                 1.4624,                0.01978,                0.31486,                0.04322,                0.01805,                 1.8012,                 3.4422,                 1.1176,                0.00024,                0.00024,                0.00024
                      2,                 2.0228,                 2.0278,                 1.1216,                0.04215,                0.67099,                0.45393,                0.16581,                 1.8059,                 2.8728,                  1.129,              0.0004901,              0.0004901,              0.0004901
                      3,                 1.8677,                 1.4456,                   1.11,                0.97285,                0.35911,                0.81452,                0.35486,                 1.7206,                 2.4811,                 1.1201,              0.0007299,              0.0007299,              0.0007299
                      4,                 1.8321,                 1.3918,                 1.1139,                0.71979,                0.70814,                0.69998,                0.27362,                 1.7775,                 2.5661,                 1.1466,             0.00095941,             0.00095941,             0.00095941
                      5,                  1.813,                 1.3654,                 1.0887,                0.94351,                0.36435,                0.77909,                0.37865,                 1.7303,                 2.3785,                 1.1902,              0.0011786,              0.0011786,              0.0011786
                      6,                 1.8676,                 1.2912,                 1.1103,                0.72286,                 0.3066,                0.55091,                0.23438,                 1.8346,                 2.4698,                 1.2132,              0.0013875,              0.0013875,              0.0013875
                      7,                 1.8159,                 1.2643,                 1.1004,                0.76181,                0.74175,                0.79504,                0.39386,                 1.6855,                 1.8131,                 1.1757,              0.0015862,              0.0015862,              0.0015862
                      8,                 1.8489,                 1.1818,                 1.0777,                0.73192,                0.77108,                0.79434,                0.35537,                 1.7183,                 1.6406,                  1.186,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.7824,                 1.2112,                 1.0572,                0.82433,                0.78301,                0.85555,                0.40511,                 1.6733,                 1.5529,                 1.1482,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.7618,                 1.1221,                 1.0656,                  0.887,                0.81958,                0.90287,                0.44836,                 1.6086,                 1.4382,                 1.0958,              0.0016832,              0.0016832,              0.0016832
