                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                 1.8093,                 1.0981,                 1.0507,                0.83973,                 0.7569,                0.86282,                0.44087,                 1.6403,                 1.5621,                 1.1763,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.7168,                 1.0635,                 1.0459,                0.85122,                0.80307,                0.89163,                0.44558,                 1.6926,                 1.4865,                  1.159,               0.001604,               0.001604,               0.001604
                     13,                 1.7593,                 1.1079,                  1.057,                0.89017,                0.82196,                0.91093,                0.46637,                 1.6444,                    1.4,                 1.1213,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.6867,                 1.0745,                 1.0529,                 0.8804,                0.85318,                0.91445,                0.48312,                 1.5561,                 1.3818,                 1.1068,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.6409,                 1.0298,                 1.0498,                0.89594,                0.88208,                0.94045,                0.49788,                 1.5995,                 1.2637,                 1.1191,              0.0014852,              0.0014852,              0.0014852
                     16,                  1.627,                  1.015,                 1.0441,                0.87907,                0.85731,                0.91888,                0.45832,                 1.6364,                 1.3229,                 1.1196,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.6247,                0.99277,                 1.0527,                0.87917,                0.89239,                0.91657,                0.46571,                 1.5889,                 1.3093,                  1.104,               0.001406,               0.001406,               0.001406
                     18,                 1.5636,                 0.9857,                 1.0268,                0.87507,                0.87323,                0.90211,                0.44898,                 1.6182,                 1.3128,                 1.1082,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.6468,                 1.0047,                 1.0387,                0.91011,                 0.8862,                0.94634,                0.50914,                 1.5265,                  1.224,                  1.076,              0.0013268,              0.0013268,              0.0013268
                     20,                  1.675,                0.98078,                 1.0148,                0.93542,                0.90625,                0.95944,                0.50348,                 1.5062,                 1.1764,                 1.0562,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.5522,                0.93334,                 1.0203,                0.94201,                0.92909,                0.96654,                0.52251,                 1.4961,                 1.0977,                 1.0594,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.5781,                0.93728,                 1.0293,                0.92114,                0.93101,                0.95493,                 0.5385,                 1.4821,                 1.1492,                 1.0684,               0.001208,               0.001208,               0.001208
                     23,                 1.5255,                0.88577,                 1.0118,                0.92321,                0.91981,                 0.9428,                0.51301,                  1.536,                 1.1671,                 1.0655,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.6036,                0.99033,                 1.0014,                0.93755,                0.92943,                0.95438,                0.53494,                 1.4971,                  1.111,                 1.0502,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.6265,                0.95714,                 1.0287,                0.92832,                0.92453,                0.94924,                0.51509,                 1.4953,                  1.123,                 1.0527,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.5663,                0.86631,                0.98434,                0.93224,                0.92484,                0.96038,                0.51996,                 1.4931,                 1.0577,                 1.0524,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.5762,                0.92903,                 1.0317,                0.94749,                0.92512,                0.97102,                0.53161,                 1.4877,                 1.0786,                 1.0389,                0.00101,                0.00101,                0.00101
                     28,                 1.5482,                0.89947,                 1.0424,                0.94144,                0.92099,                0.96605,                0.53925,                 1.4744,                 1.0932,                 1.0412,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.6129,                0.92002,                 1.0089,                0.93929,                0.92276,                0.96675,                0.53066,                 1.4766,                 1.0952,                 1.0334,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.5416,                0.89301,                 1.0152,                0.94293,                0.93518,                0.96312,                0.52803,                 1.4828,                 1.0821,                 1.0396,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.5472,                0.86018,                  1.004,                0.92546,                0.92236,                 0.9394,                0.53839,                 1.4366,                 1.3007,                 1.0252,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.5451,                0.86882,                 1.0114,                0.93316,                0.93017,                0.94838,                0.54615,                 1.4216,                 1.1948,                 1.0236,               0.000812,               0.000812,               0.000812
                     33,                 1.5751,                0.84722,                0.98808,                0.96255,                0.93967,                 0.9706,                0.55219,                 1.4102,                0.96152,                 1.0149,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.4936,                0.88988,                0.99272,                 0.9506,                 0.9417,                0.96899,                0.54331,                 1.4074,                0.92836,                 1.0173,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.5605,                0.85557,                 1.0086,                0.95587,                 0.9451,                0.97616,                0.56276,                 1.4161,                0.90656,                 1.0253,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.5555,                 0.8268,                0.99733,                0.96483,                0.94575,                0.97707,                0.56744,                 1.4129,                0.93189,                 1.0286,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.5875,                0.81119,                0.99924,                 0.9607,                0.94222,                 0.9756,                0.55887,                 1.4189,                0.94716,                 1.0338,               0.000614,               0.000614,               0.000614
                     38,                 1.5837,                0.87415,                0.99728,                 0.9444,                0.93146,                0.97208,                0.52614,                 1.4365,                0.95892,                 1.0244,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.5091,                 0.8458,                0.99754,                0.94162,                0.93194,                0.97083,                0.53636,                 1.3904,                0.92041,                 1.0119,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.4742,                0.79165,                0.98046,                0.94714,                0.94458,                 0.9741,                0.55656,                  1.363,                 0.9061,                 1.0052,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.5067,                 0.8421,                 1.0217,                0.95672,                0.95157,                0.97983,                0.57725,                 1.3543,                0.87239,                  1.003,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.4569,                0.76355,                 0.9766,                 0.9631,                0.94634,                0.98235,                0.57514,                 1.3633,                0.86701,                 1.0059,               0.000416,               0.000416,               0.000416
                     43,                 1.4208,                0.89918,                 1.0079,                0.96139,                 0.9397,                0.98194,                0.57814,                 1.3673,                0.86207,                 1.0053,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.4907,                0.78264,                 1.0034,                0.96028,                0.94085,                0.98069,                0.57966,                 1.3564,                0.85893,                0.99958,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.4744,                 0.7753,                0.97708,                0.96235,                0.94458,                0.98073,                0.58076,                 1.3539,                0.86394,                0.99631,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.4744,                0.81892,                0.97191,                0.95989,                0.94693,                0.97703,                0.57273,                 1.3486,                0.87238,                0.99105,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.4715,                 0.7778,                0.97657,                0.95749,                0.94458,                0.97554,                0.56716,                 1.3366,                0.87681,                0.98266,               0.000218,               0.000218,               0.000218
                     48,                 1.4215,                0.72877,                 1.0062,                0.95463,                0.94575,                0.97554,                0.56872,                   1.33,                0.87231,                0.98033,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.4739,                 0.7617,                0.99326,                0.96213,                0.94383,                0.97848,                0.57593,                 1.3227,                 0.8682,                0.97724,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.4492,                0.75246,                0.98069,                  0.962,                0.94811,                0.98018,                 0.5797,                 1.3187,                0.85691,                0.97563,               9.92e-05,               9.92e-05,               9.92e-05
