                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4152,                 3.9085,                 1.2895,                0.00442,                0.43089,                0.11473,                 0.0583,                 1.3749,                 3.6144,                 1.1034,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.2648,                 3.7146,                 1.1341,                0.00483,                0.47154,                0.11817,                 0.0666,                 1.3726,                 3.6268,                 1.1041,               4.02e-05,               4.02e-05,               4.02e-05
                      3,                 2.0078,                 3.5583,                 1.2414,                0.00483,                0.47154,                0.13495,                0.07808,                 1.3667,                 3.6319,                 1.1141,                3.4e-05,                3.4e-05,                3.4e-05
